(c) Der Bundeswahlleiter, Wiesbaden 2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wahlbewerberinnen und Wahlbewerber für die Wahl zum 9. Europäischen Parlament (26. Mai 2019) aus der Bundesrepublik Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stand:;12.04.2019;08:56;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Format: CSV. Trennzeichen: Semikolon. Zeichensatz: UTF-8 mit BOM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wahlart;Wahltag;Titel;Namenszusatz;Nachname;Vorname;Geschlecht;Geburtjahr;PLZ;Wohnort;WohnortLandAbk;Geburtsort;Staatsangehörigkeit;Beruf;Berufsschluessel;Kennzeichen;Gebietsart;Gebietsnummer;Gebietsname;GebietLandAbk;Gruppenname;GruppennameLang;Listenplatz;VerknKennzeichen;VerknGebietsart;VerknGebietsnummer;VerknGebietsname;VerknGebietLandAbk;VerknGruppenname;VerknListenplatz;VorpGewaehlt
EP;26.05.2019;Dr.;;Gehrold;Stefan Dominik;m;1965;26683;Saterland;NI;Freiburg;DE;MdEP;71;Bewerber;Land;03;Niedersachsen;NI;CDU;Christlich Demokratische Union Deutschlands;5;;;;;;;;X
EP;26.05.2019;;;Geier;Jens Adolf;m;1961;45131;Essen;NW;Frankfurt am Main;DE;MdEP;71;Bewerber;Bund;99;Bundesgebiet;Bund;SPD;Sozialdemokratische Partei Deutschlands;4;;;;;;;;X
EP;26.05.2019;;;Geiseler;Thomas;m;1989;65510;Hünstetten;HE;Offenbach am Main;DE;Student;04;Bewerber;Bund;99;Bundesgebiet;Bund;DiEM25;Demokratie in Europa - DiEM25;10;;;;;;;;
EP;26.05.2019;;;Geisenfelder;Florian;m;1991;93352;Rohr i.NB;BY;Mainburg;DE;Bäcker;29;Bewerber;Bund;99;Bundesgebiet;Bund;BP;Bayernpartei;9;;;;;;;;
EP;26.05.2019;;;Gentsch;Tony;m;1984;07985;Elsterberg;SN;Halle (Saale);DE;Kraftfahrer;52;Bewerber;Bund;99;Bundesgebiet;Bund;III. Weg;DER DRITTE WEG;3;;;;;;;;
EP;26.05.2019;;;Georgiou;Iordanis;m;1958;45879;Gelsenkirchen;NW;Arnissa, Griechenland;GR;Maschinenschlosser;25;Bewerber;Bund;99;Bundesgebiet;Bund;MLPD;Marxistisch-Leninistische Partei Deutschlands;10;;;;;;;;
EP;26.05.2019;;;Gerber;Michael;m;1950;46240;Bottrop;NW;Hamburg;DE;Wartungselektroniker;25;Bewerber;Bund;99;Bundesgebiet;Bund;DKP;Deutsche Kommunistische Partei;17;;;;;;;;
EP;26.05.2019;;;Gericke;Arne;m;1964;18233;Neubukow;MV;Hamburg;DE;MdEP;71;Bewerber;Bund;99;Bundesgebiet;Bund;Bündnis C;Bündnis C - Christen für Deutschland;1;;;;;;;;X
EP;26.05.2019;;;Gerszewski;Michael;m;1958;68305;Mannheim;BW;Mannheim;DE;Kaufmann für Bürokommunikation;71;Bewerber;Bund;99;Bundesgebiet;Bund;FAMILIE;Familien-Partei Deutschlands;6;;;;;;;;
EP;26.05.2019;;;Geuking;Helmut Julius;m;1964;48727;Billerbeck;NW;Coesfeld;DE;Beamter, Krankenpflegedienstleiter;73;Bewerber;Bund;99;Bundesgebiet;Bund;FAMILIE;Familien-Partei Deutschlands;1;;;;;;;;
EP;26.05.2019;;;Geuking;Niels;m;1992;59227;Ahlen;NW;Coesfeld;DE;Student der Rechtswissenschaft;04;Bewerber;Bund;99;Bundesgebiet;Bund;FAMILIE;Familien-Partei Deutschlands;2;;;;;;;;
EP;26.05.2019;;;Giegold;Sven;m;1969;40210;Düsseldorf;NW;Las Palmas;DE;Wirtschaftswissenschaftler;91;Bewerber;Bund;99;Bundesgebiet;Bund;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;2;;;;;;;;X
EP;26.05.2019;;;Giese;Thomas;m;1970;36251;Bad Hersfeld;HE;Eschwege;DE;Dipl.-Politologe, Geschäftsführer;91;Bewerber;Bund;99;Bundesgebiet;Bund;SPD;Sozialdemokratische Partei Deutschlands;62;Ersatzbewerber;Bund;99;Bundesgebiet;;SPD;17;
EP;26.05.2019;;;Gieseke;Jens Peter;m;1971;49751;Sögel;NI;Lingen (Ems);DE;Rechtsanwalt;73;Bewerber;Land;03;Niedersachsen;NI;CDU;Christlich Demokratische Union Deutschlands;2;;;;;;;;X
EP;26.05.2019;;;Giesguth;Antonius Engelbert Arnulf;m;1983;41179;Mönchengladbach;NW;Norden;DE;Ingenieur;27;Bewerber;Bund;99;Bundesgebiet;Bund;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;139;;;;;;;;
EP;26.05.2019;;;Gladun;Oleksandr;m;1973;82487;Oberammergau;BY;Kiew;DE;Lehrer;84;Bewerber;Bund;99;Bundesgebiet;Bund;LIEBE;Europäische Partei LIEBE;10;;;;;;;;
EP;26.05.2019;;;Glaser;Mirjam Anna;w;1958;55246;Wiesbaden;HE;Kaiserslautern;DE;Buchhändlerin;62;Bewerber;Bund;99;Bundesgebiet;Bund;ÖkoLinX;Ökologische Linke;13;;;;;;;;
EP;26.05.2019;Dr.;;Glatzer;Jens;m;1976;10245;Berlin;BE;Brandenburg an der Havel;DE;Künstler, Galerist;93;Bewerber;Bund;99;Bundesgebiet;Bund;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;12;;;;;;;;
EP;26.05.2019;;;Glaß;Kea Rachel;w;1997;28207;Bremen;HB;Strausberg;DE;Studentin;04;Bewerber;Bund;99;Bundesgebiet;Bund;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;112;;;;;;;;
EP;26.05.2019;;;Glück;Andreas;m;1975;72525;Münsingen;BW;Münsingen;DE;Chirurg;81;Bewerber;Bund;99;Bundesgebiet;Bund;FDP;Freie Demokratische Partei;3;;;;;;;;
EP;26.05.2019;;;Godenrath;Kerstin;w;1979;06110;Halle (Saale);ST;Weißenfels;DE;Abteilungsleiterin;71;Bewerber;Land;15;Sachsen-Anhalt;ST;CDU;Christlich Demokratische Union Deutschlands;2;;;;;;;;
EP;26.05.2019;;;Gogröf;Victor;m;1993;70469;Stuttgart;BW;Bretten;DE;Elektronikentwickler;27;Bewerber;Bund;99;Bundesgebiet;Bund;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;91;;;;;;;;
EP;26.05.2019;;;Gollücke;Rüdiger;m;1967;77694;Kehl;BW;Bremerhaven;DE;Unternehmer, Dipl.-Ökonom;71;Bewerber;Bund;99;Bundesgebiet;Bund;FDP;Freie Demokratische Partei;144;;;;;;;;
EP;26.05.2019;;;Gottschewsky;Isabel;w;1969;28832;Achim;NI;Bremen;DE;Dipl.-Ökonomin;71;Bewerber;Land;03;Niedersachsen;NI;CDU;Christlich Demokratische Union Deutschlands;15;;;;;;;;
EP;26.05.2019;;;Gottwald;Melanie;w;1979;39124;Magdeburg;ST;Schönebeck;DE;Geschäftsführerin;71;Bewerber;Land;15;Sachsen-Anhalt;ST;CDU;Christlich Demokratische Union Deutschlands;4;;;;;;;;
EP;26.05.2019;;;Graack;Julius Friedrich;m;1998;37073;Göttingen;NI;Berlin;DE;Student;04;Bewerber;Bund;99;Bundesgebiet;Bund;FDP;Freie Demokratische Partei;73;;;;;;;;
EP;26.05.2019;Dr.;;Graetschel;Harald Gerhard;m;1950;12209;Berlin;BE;Berlin;DE;Dipl.-Biologe;41;Bewerber;Bund;99;Bundesgebiet;Bund;ÖDP;Ökologisch-Demokratische Partei;85;;;;;;;;
EP;26.05.2019;;;Grahn;Wolf-Dieter;m;1949;92421;Schwandorf;BY;Schwandorf;DE;Arzt;81;Bewerber;Bund;99;Bundesgebiet;Bund;FDP;Freie Demokratische Partei;166;;;;;;;;
EP;26.05.2019;;;Grewers;Edna Gwendolyn Daphne;w;1995;10961;Berlin;BE;Frankfurt am Main;DE;Studentin;04;Bewerber;Bund;99;Bundesgebiet;Bund;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;71;;;;;;;;
EP;26.05.2019;;;Griesbaum;Joachim Robert Maria;m;1955;20359;Hamburg;HH;Waldhausen;DE;Schlosser;24;Bewerber;Bund;99;Bundesgebiet;Bund;MLPD;Marxistisch-Leninistische Partei Deutschlands;11;;;;;;;;
EP;26.05.2019;;;Grobien;Susanne Elisabeth;w;1960;28211;Bremen;HB;Bremen;DE;Dipl.-Volkswirtin;91;Bewerber;Land;04;Bremen;HB;CDU;Christlich Demokratische Union Deutschlands;1;;;;;;;;
EP;26.05.2019;;;Grouwet;Carl;m;1965;12435;Berlin;BE;Mechelen, Belgien;DE;Büroleiter, wiss. Mitarbeiter;71;Bewerber;Bund;99;Bundesgebiet;Bund;FDP;Freie Demokratische Partei;12;;;;;;;;
EP;26.05.2019;;;Große Vorholt;Hanna;w;1992;60326;Frankfurt am Main;HE;Frankfurt am Main;DE;Studentin der Humangeographie;04;Bewerber;Bund;99;Bundesgebiet;Bund;ÖkoLinX;Ökologische Linke;4;;;;;;;;
EP;26.05.2019;;;Grupe;Alexander;m;1978;22767;Hamburg;HH;Celle;DE;Softwareentwickler;43;Bewerber;Bund;99;Bundesgebiet;Bund;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;72;;;;;;;;
EP;26.05.2019;;;Gräff;Christian Peter Paul;m;1978;12683;Berlin;BE;Berlin;DE;MdA, Kaufmann;71;Bewerber;Land;11;Berlin;BE;CDU;Christlich Demokratische Union Deutschlands;4;;;;;;;;
EP;26.05.2019;;;Gränert;Robert;m;1980;18435;Stralsund;MV;Rostock;DE;Steuerfachangestellter;72;Bewerber;Bund;99;Bundesgebiet;Bund;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;53;;;;;;;;
EP;26.05.2019;;;Gräsle;Raana Barbara;w;1971;10117;Berlin;BE;Heilbronn;DE;Politologin;91;Bewerber;Bund;99;Bundesgebiet;Bund;SPD;Sozialdemokratische Partei Deutschlands;75;;;;;;;;
EP;26.05.2019;;;Grässle;Sonja;w;1994;73092;Heiningen;BW;Göppingen;DE;Assistentin der Geschäftsleitung;71;Bewerber;Land;08;Baden-Württemberg;BW;CDU;Christlich Demokratische Union Deutschlands;10;;;;;;;;
EP;26.05.2019;Dr.;;Gräßle;Ingeborg Gabriele;w;1961;89520;Heidenheim an der Brenz;BW;Heidenheim-Großkuchen;DE;MdEP;71;Bewerber;Land;08;Baden-Württemberg;BW;CDU;Christlich Demokratische Union Deutschlands;5;;;;;;;;X
EP;26.05.2019;;;Grünke;Sebastian;m;1979;09130;Chemnitz;SN;Wolfsburg;DE;techn. Produktdesigner;27;Bewerber;Bund;99;Bundesgebiet;Bund;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;64;;;;;;;;
EP;26.05.2019;;;Gundlach;David;m;1987;55126;Mainz;RP;Mainz;DE;Dachdecker, Unternehmer;32;Bewerber;Bund;99;Bundesgebiet;Bund;ÖDP;Ökologisch-Demokratische Partei;84;;;;;;;;
EP;26.05.2019;;;Gutleben;Burkhard;m;1956;46047;Oberhausen;NW;Oberhausen;DE;Bibliothekar;73;Bewerber;Bund;99;Bundesgebiet;Bund;NL;Neue Liberale – Die Sozialliberalen;4;;;;;;;;
EP;26.05.2019;;;Gäbler;Heike Rita;w;1966;72224;Ebhausen;BW;Dielheim;DE;Unternehmensberaterin, Dozentin;71;Ersatzbewerber;Land;08;Baden-Württemberg;BW;CDU;Christlich Demokratische Union Deutschlands;7;;;;;;;;
EP;26.05.2019;;;Gärtner;Lisa Ursula;w;1986;45899;Gelsenkirchen;NW;Solingen;DE;Mechatronikerin;26;Bewerber;Bund;99;Bundesgebiet;Bund;MLPD;Marxistisch-Leninistische Partei Deutschlands;1;;;;;;;;
EP;26.05.2019;;;Gärtner-Engel;Monika Ruth;w;1952;45899;Gelsenkirchen;NW;Bad Boll;DE;Dipl.-Sozialpädagogin;83;Bewerber;Bund;99;Bundesgebiet;Bund;MLPD;Marxistisch-Leninistische Partei Deutschlands;8;;;;;;;;
EP;26.05.2019;;;Göbbels;Kevin;m;1991;52249;Eschweiler;NW;Eschweiler;DE;Psychology (B. Sc.);81;Bewerber;Bund;99;Bundesgebiet;Bund;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;5;;;;;;;;
EP;26.05.2019;;;Göbel;Volker;m;1979;57392;Schmallenberg;NW;Köln;DE;Elektrokonstrukteur;27;Bewerber;Bund;99;Bundesgebiet;Bund;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;93;;;;;;;;
EP;26.05.2019;;;Göggelmann;Klaus;m;1960;97922;Lauda-Königshofen;BW;Börtlingen-Zell;DE;Realschullehrer;84;Bewerber;Bund;99;Bundesgebiet;Bund;ÖDP;Ökologisch-Demokratische Partei;61;;;;;;;;
EP;26.05.2019;;;Göggelmann;Ute;w;1959;97922;Lauda-Königshofen;BW;Duisburg;DE;Dipl.-Übersetzerin, Pfarrsekretärin;71;Bewerber;Bund;99;Bundesgebiet;Bund;ÖDP;Ökologisch-Demokratische Partei;24;;;;;;;;
EP;26.05.2019;;;Görres;Falko;m;1981;60326;Frankfurt am Main;HE;Buchholz in der Nordheide;DE;Account Manager;92;Bewerber;Bund;99;Bundesgebiet;Bund;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;86;;;;;;;;
EP;26.05.2019;;;Götte;Gabriela;w;1960;99438;Bad Berka;TH;Weimar;DE;med.-techn. Radiologieassistentin;81;Bewerber;Bund;99;Bundesgebiet;Bund;Die Grauen;Die Grauen – Für alle Generationen;7;;;;;;;;
EP;26.05.2019;;;Götz;Christoph;m;1997;92421;Schwandorf;BY;Schwandorf;DE;Student;04;Bewerber;Land;09;Bayern;BY;CSU;Christlich-Soziale Union in Bayern e.V.;34;;;;;;;;
EP;26.05.2019;;;Güde;Lucie;w;1998;40472;Düsseldorf;NW;Ratingen;DE;Auszubildende;04;Bewerber;Bund;99;Bundesgebiet;Bund;TIERSCHUTZ hier!;Aktion Partei für Tierschutz – DAS ORIGINAL;8;;;;;;;;
EP;26.05.2019;;;Güven;Osman;m;1971;41066;Mönchengladbach;NW;Konya, Türkei;DE;Oberfeuerwehrmann;53;Bewerber;Bund;99;Bundesgebiet;Bund;BIG;Bündnis für Innovation & Gerechtigkeit;29;;;;;;;;
EP;26.05.2019;;;Habel;Peter Markus;m;1963;66539;Neunkirchen;SL;Neunkirchen;DE;Architekt;31;Bewerber;Bund;99;Bundesgebiet;Bund;FDP;Freie Demokratische Partei;155;;;;;;;;
EP;26.05.2019;;;Habla;Sabine Anni Agathe;w;1966;95511;Mistelbach;BY;Bayreuth;DE;Betriebswirtin im Handwerk;71;Bewerber;Land;09;Bayern;BY;CSU;Christlich-Soziale Union in Bayern e.V.;33;;;;;;;;
EP;26.05.2019;;;Hackemann;Philip Fritz Hermann;m;1995;80638;München;BY;München;DE;Politologe, Ökonom;91;Bewerber;Bund;99;Bundesgebiet;Bund;FDP;Freie Demokratische Partei;11;;;;;;;;
EP;26.05.2019;;;Hafer;Kai-Uwe;m;1968;94036;Passau;BY;Papenburg;DE;Dozent in der Erwachsenenbildung;84;Bewerber;Bund;99;Bundesgebiet;Bund;BP;Bayernpartei;5;;;;;;;;
EP;26.05.2019;;;Hafner-Degen;Rita;w;1963;88605;Meßkirch;BW;Meßkirch;DE;Dipl.-Ing., Dipl.-Exportökonomin (FH);27;Bewerber;Land;08;Baden-Württemberg;BW;CDU;Christlich Demokratische Union Deutschlands;14;;;;;;;;
EP;26.05.2019;Dr.;;Haga;Tim Oliver;m;1982;28329;Bremen;HB;Bremerhaven;DE;Mathematiker;41;Bewerber;Land;04;Bremen;HB;CDU;Christlich Demokratische Union Deutschlands;2;;;;;;;;
EP;26.05.2019;;;Hagedorn;Angelika Jutta;w;1957;48151;Münster;NW;Kiel;DE;Gemeindepädagogin, Dipl.-Pädagogin;84;Bewerber;Bund;99;Bundesgebiet;Bund;ÖDP;Ökologisch-Demokratische Partei;81;;;;;;;;
EP;26.05.2019;;;Hahn;Henrike Nanna Gisela;w;1970;80636;München;BY;München;DE;Politologin;91;Bewerber;Bund;99;Bundesgebiet;Bund;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;13;;;;;;;;
EP;26.05.2019;;;Hahn;Leander;m;1996;55743;Idar-Oberstein;RP;Idar-Oberstein;DE;Altenpfleger;82;Bewerber;Bund;99;Bundesgebiet;Bund;ÖDP;Ökologisch-Demokratische Partei;59;;;;;;;;
EP;26.05.2019;;;Hahn;Svenja Ilona;w;1989;22083;Hamburg;HH;Hamburg;DE;PR-Managerin;92;Bewerber;Bund;99;Bundesgebiet;Bund;FDP;Freie Demokratische Partei;2;;;;;;;;
EP;26.05.2019;;;Hamann;Henrik Alexander;m;1994;38304;Wolfenbüttel;NI;Helmstedt;DE;Angestellter;71;Ersatzbewerber;Bund;99;Bundesgebiet;Bund;SPD;Sozialdemokratische Partei Deutschlands;61;;;;;;;;
EP;26.05.2019;;;Hampel;Tim;m;1994;24589;Nortorf;SH;Kiel;DE;Handwerker;27;Bewerber;Bund;99;Bundesgebiet;Bund;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;65;;;;;;;;
EP;26.05.2019;;;Hannes;Alexander Wolfgang;m;1992;81929;München;BY;Zwiesel;DE;Organisationsberater;71;Bewerber;Land;09;Bayern;BY;CSU;Christlich-Soziale Union in Bayern e.V.;28;;;;;;;;
EP;26.05.2019;;;Haque;Sikander Michael;m;1968;10119;Berlin;BE;Toronto, Kanada;DE;Bildungsreferent;84;Bewerber;Bund;99;Bundesgebiet;Bund;ÖkoLinX;Ökologische Linke;10;;;;;;;;
EP;26.05.2019;;;Harapat;Dominic;m;1983;35576;Wetzlar;HE;Braunfels;DE;Facharbeiter in der Mechatronik;26;Bewerber;Bund;99;Bundesgebiet;Bund;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;75;;;;;;;;
EP;26.05.2019;;;Hark;Manfred;m;1959;27476;Cuxhaven;NI;Otterndorf;DE;Betriebswirt des Handwerks;71;Bewerber;Bund;99;Bundesgebiet;Bund;FDP;Freie Demokratische Partei;146;;;;;;;;
EP;26.05.2019;;;Harms;Olaf;m;1961;21107;Hamburg;HH;Hamburg;DE;Versicherungskaufmann;72;Bewerber;Bund;99;Bundesgebiet;Bund;DKP;Deutsche Kommunistische Partei;1;;;;;;;;
EP;26.05.2019;;;Harms;Daniel;m;1981;20359;Hamburg;HH;Gifhorn;DE;Kommunikationsdesigner;23;Bewerber;Bund;99;Bundesgebiet;Bund;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;46;;;;;;;;
EP;26.05.2019;;;Harrison;Robert John;m;1961;85604;Zorneding;BY;London, Großbritannien;DE;Physiker, Patentanwalt;41;Bewerber;Bund;99;Bundesgebiet;Bund;FDP;Freie Demokratische Partei;45;;;;;;;;
EP;26.05.2019;;;Harter;Karl-Friedrich;m;1965;12247;Berlin;BE;Bad Bramstedt;DE;Unternehmer;71;Bewerber;Bund;99;Bundesgebiet;Bund;Gesundheitsforschung;Partei für Gesundheitsforschung;10;;;;;;;;
EP;26.05.2019;;;Hartl;Maximilian;m;2000;93059;Regensburg;BY;Regensburg;DE;Auszubildender;04;Bewerber;Bund;99;Bundesgebiet;Bund;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;135;;;;;;;;
EP;26.05.2019;;;Hartmann;Uwe Georg;m;1963;97318;Kitzingen;BY;Kitzingen;DE;Schwerbehindertenvertreter;71;Bewerber;Bund;99;Bundesgebiet;Bund;BP;Bayernpartei;4;;;;;;;;
EP;26.05.2019;;;Hartmeyer;Friedrich;m;1972;67705;Trippstadt;RP;Kaiserslautern;DE;Dipl.-Betriebswirt (FH);71;Bewerber;Bund;99;Bundesgebiet;Bund;FDP;Freie Demokratische Partei;77;;;;;;;;
EP;26.05.2019;Dr.;;Hartung;Hannes;m;1973;82065;Baierbrunn;BY;Ulm;DE;Rechtsanwalt;73;Bewerber;Bund;99;Bundesgebiet;Bund;FDP;Freie Demokratische Partei;121;;;;;;;;
EP;26.05.2019;;;Hasecke;Mathias Ernst;m;1960;37296;Ringgau;HE;Wanfried-Völkershausen;DE;selbst. Unternehmer;71;Bewerber;Land;16;Thüringen;TH;CDU;Christlich Demokratische Union Deutschlands;4;;;;;;;;
EP;26.05.2019;;;Hasselbach;Philipp;m;1987;94315;Straubing;BY;Essen;DE;Unternehmer;71;Bewerber;Bund;99;Bundesgebiet;Bund;DIE RECHTE;DIE RECHTE – Partei für Volksabstimmung, Souveränität und Heimatschutz;8;;;;;;;;
EP;26.05.2019;;;Haugk;Holger Gerhard;m;1970;04177;Leipzig;SN;Böblingen;DE;Universitätsdozent;84;Bewerber;Bund;99;Bundesgebiet;Bund;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;32;;;;;;;;
EP;26.05.2019;;;Haunschild;Karel;m;1976;22177;Hamburg;HH;Šumperk;CZ;Fotograf;23;Bewerber;Bund;99;Bundesgebiet;Bund;NPD;Nationaldemokratische Partei Deutschlands;10;;;;;;;;
EP;26.05.2019;;;Haurová;Corina;w;1979;60386;Frankfurt am Main;HE;Herford;DE;Angestellte;71;Bewerber;Bund;99;Bundesgebiet;Bund;DIE FRAUEN;Feministische Partei DIE FRAUEN;8;;;;;;;;
EP;26.05.2019;;;Haverbeck-Wetzel;Ursula Meta Hedwig;w;1928;32602;Vlotho;NW;Winterscheid;DE;päd. Mitarbeiterin;91;Bewerber;Bund;99;Bundesgebiet;Bund;DIE RECHTE;DIE RECHTE – Partei für Volksabstimmung, Souveränität und Heimatschutz;1;;;;;;;;
EP;26.05.2019;;;Haydt;Claudia Talitha Gisela;w;1966;72070;Tübingen;BW;Friedrichshafen;DE;Friedensforscherin;91;Bewerber;Bund;99;Bundesgebiet;Bund;DIE LINKE;DIE LINKE;7;;;;;;;;
EP;26.05.2019;;;Hebebrand;Jörg;m;1977;34613;Schwalmstadt;HE;Marburg (Lahn);DE;IT-Systemkaufmann;43;Bewerber;Bund;99;Bundesgebiet;Bund;FREIE WÄHLER;FREIE WÄHLER;18;;;;;;;;
EP;26.05.2019;;;Hebecker;Dustin;m;1989;12459;Berlin;BE;Krefeld;DE;Student;04;Bewerber;Bund;99;Bundesgebiet;Bund;Die Humanisten;Partei der Humanisten;6;;;;;;;;
EP;26.05.2019;;;Heber;Claudia;w;1976;99634;Straußfurt;TH;Nordhausen;DE;Dipl.-Verwaltungswirtin;73;Bewerber;Land;16;Thüringen;TH;CDU;Christlich Demokratische Union Deutschlands;2;;;;;;;;
EP;26.05.2019;;;Heck-Roth;Michael;m;1994;04177;Leipzig;SN;Speyer;DE;Student;04;Bewerber;Bund;99;Bundesgebiet;Bund;DIE DIREKTE!;Demokratie DIREKT!;6;;;;;;;;
EP;26.05.2019;;;Heepen;Karin;w;1962;99099;Erfurt;TH;Dresden;DE;Honorardozentin;84;Bewerber;Bund;99;Bundesgebiet;Bund;Bündnis C;Bündnis C - Christen für Deutschland;2;;;;;;;;
EP;26.05.2019;;;Heib;Dagmar Maria;w;1963;66763;Dillingen/ Saar;SL;Saarlouis;DE;Juristin;73;Bewerber;Land;10;Saarland;SL;CDU;Christlich Demokratische Union Deutschlands;2;;;;;;;;
EP;26.05.2019;;;Heide;Srita;w;1968;63454;Hanau;HE;Shahagunj, Indien;DE;Personalmanagementberaterin;71;Bewerber;Land;06;Hessen;HE;CDU;Christlich Demokratische Union Deutschlands;4;;;;;;;;
EP;26.05.2019;;von der;Heide;Maren;w;1979;49577;Ankum;NI;Ankum;DE;Sparkassenbetriebswirtin;72;Bewerber;Land;03;Niedersachsen;NI;CDU;Christlich Demokratische Union Deutschlands;21;;;;;;;;
EP;26.05.2019;;;Heidkamp;Erich;m;1948;60528;Frankfurt am Main;HE;Leverkusen;DE;Geschäftsführer a. D.;05;Bewerber;Bund;99;Bundesgebiet;Bund;AfD;Alternative für Deutschland;12;;;;;;;;
EP;26.05.2019;Dr.;;Heidtmann;Dieter;m;1963;73760;Ostfildern;BW;Düsseldorf;DE;Pfarrer;83;Bewerber;Bund;99;Bundesgebiet;Bund;SPD;Sozialdemokratische Partei Deutschlands;46;;;;;;;;
EP;26.05.2019;;;Heiling;Akina;w;1999;96052;Bamberg;BY;Bamberg;DE;Spielothekenfachangestellte;62;Bewerber;Bund;99;Bundesgebiet;Bund;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;136;;;;;;;;
EP;26.05.2019;;;Heine;Fabian;m;1992;31559;Haste;NI;Bückeburg;DE;Dipl.-Jurist, Rechtsreferendar;73;Bewerber;Land;03;Niedersachsen;NI;CDU;Christlich Demokratische Union Deutschlands;12;;;;;;;;
EP;26.05.2019;;;Heinrichsdorff;Ulf-Fabian;m;1982;26789;Leer (Ostfriesland);NI;Leer;DE;Dipl.-Wirtschaftsingenieur;27;Bewerber;Land;03;Niedersachsen;NI;CDU;Christlich Demokratische Union Deutschlands;9;;;;;;;;
EP;26.05.2019;;;Heinritz;Katrin;w;1974;74541;Vellberg;BW;Preetz (Plön);DE;Angestellte ö. D.;73;Ersatzbewerber;Land;08;Baden-Württemberg;BW;CDU;Christlich Demokratische Union Deutschlands;5;;;;;;;;
EP;26.05.2019;;;Heins;Niclas Wilhelm;m;1994;22359;Hamburg;HH;Hamburg;DE;ltd. kfm. Angestellter;71;Bewerber;Land;02;Hamburg;HH;CDU;Christlich Demokratische Union Deutschlands;3;;;;;;;;
EP;26.05.2019;Dr.;;Heintze;Roland;m;1973;22459;Hamburg;HH;Hamburg;DE;Unternehmer;71;Bewerber;Land;02;Hamburg;HH;CDU;Christlich Demokratische Union Deutschlands;1;;;;;;;;
EP;26.05.2019;;;Heinze;Carl-Christian;m;1966;21335;Lüneburg;NI;Hamburg;DE;Rückversicherungsmakler;72;Bewerber;Bund;99;Bundesgebiet;Bund;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;40;;;;;;;;
EP;26.05.2019;;;Heitkamp;Micha;m;1990;48151;Münster;NW;Bückeburg;DE;Student der ev. Theologie;04;Bewerber;Bund;99;Bundesgebiet;Bund;SPD;Sozialdemokratische Partei Deutschlands;84;Ersatzbewerber;Bund;99;Bundesgebiet;;SPD;47;
EP;26.05.2019;;;Heiß;Marie-Isabelle Bernadette Anne Sophie;w;1990;81667;München;BY;München;DE;Rechtsanwältin;73;Bewerber;Bund;99;Bundesgebiet;Bund;Volt;Volt Deutschland;2;;;;;;;;
EP;26.05.2019;;;Helbing;Steffen;m;1970;10179;Berlin;BE;Löbau;DE;Bürokaufmann;71;Bewerber;Land;11;Berlin;BE;CDU;Christlich Demokratische Union Deutschlands;8;;;;;;;;
EP;26.05.2019;;;Helmbrecht;Heiko;m;1970;84028;Landshut;BY;Coburg;DE;Softwareentwickler;43;Bewerber;Bund;99;Bundesgebiet;Bund;ÖDP;Ökologisch-Demokratische Partei;89;;;;;;;;
