(c) Der Bundeswahlleiter, Wiesbaden 2019;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wahlbewerberinnen und Wahlbewerber für die Wahl zum 9. Europäischen Parlament (26. Mai 2019) aus der Bundesrepublik Deutschland;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Stand:;12.04.2019;08:56;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Format: CSV. Trennzeichen: Semikolon. Zeichensatz: UTF-8 mit BOM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Wahlart;Wahltag;Titel;Namenszusatz;Nachname;Vorname;Geschlecht;Geburtjahr;PLZ;Wohnort;WohnortLandAbk;Geburtsort;Staatsangehörigkeit;Beruf;Berufsschluessel;Kennzeichen;Gebietsart;Gebietsnummer;Gebietsname;GebietLandAbk;Gruppenname;GruppennameLang;Listenplatz;VerknKennzeichen;VerknGebietsart;VerknGebietsnummer;VerknGebietsname;VerknGebietLandAbk;VerknGruppenname;VerknListenplatz;VorpGewaehlt
EP;26.05.2019;;;Altan;Ilknur;w;1967;87439;Kempten (Allgäu);BY;Istanbul;DE;zahnärztl. Praxismanagerin;73;Ersatzbewerber;Bund;99;Bundesgebiet;Bund;SPD;Sozialdemokratische Partei Deutschlands;80;;;;;;;;
EP;26.05.2019;;;Altay;Ayse;w;1989;86199;Augsburg;BY;Schongau;DE;Bankkauffrau;72;Bewerber;Bund;99;Bundesgebiet;Bund;BIG;Bündnis für Innovation & Gerechtigkeit;21;;;;;;;;
EP;26.05.2019;;;Altenhofer;Joachim;m;1961;66424;Homburg;SL;St. Wendel;DE;Dipl.-Pflegepädagoge;84;Bewerber;Bund;99;Bundesgebiet;Bund;Graue Panther;Graue Panther;7;;;;;;;;
EP;26.05.2019;;;Altesleben;Bettina;w;1961;66802;Überherrn;SL;Saarbrücken;DE;Gewerkschaftssekretärin;71;Ersatzbewerber;Bund;99;Bundesgebiet;Bund;SPD;Sozialdemokratische Partei Deutschlands;20;;;;;;;;
EP;26.05.2019;;;Altmann;Werner;m;1949;79263;Simonswald;BW;Rahden (Westf.);DE;Rentner;05;Bewerber;Bund;99;Bundesgebiet;Bund;DKP;Deutsche Kommunistische Partei;34;;;;;;;;
EP;26.05.2019;;;Amann;Harold;m;1967;85646;Anzing;BY;Freilassing;DE;Dipl.-Kaufmann;61;Ersatzbewerber;Bund;99;Bundesgebiet;Bund;BP;Bayernpartei;3;;;;;;;;
EP;26.05.2019;;;Andersen;Merle;w;1995;28201;Bremen;HB;Bremen;DE;Studentin;04;Bewerber;Bund;99;Bundesgebiet;Bund;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;118;;;;;;;;
EP;26.05.2019;;;Anderson;Christine Margarete;w;1968;65551;Limburg a.d. Lahn;HE;Eschwege;DE;Hausfrau;06;Bewerber;Bund;99;Bundesgebiet;Bund;AfD;Alternative für Deutschland;8;;;;;;;;
EP;26.05.2019;;;Andre;Krisztina;w;1972;80993;München;BY;Szeged, Ungarn;HU;Kommunikations- und Nachhaltigkeitsexpertin;42;Bewerber;Bund;99;Bundesgebiet;Bund;DiEM25;Demokratie in Europa - DiEM25;8;;;;;;;;
EP;26.05.2019;;;Andres;Ingulf-Michael;m;1952;50858;Köln;NW;Helmstedt;DE;Betriebsratsvorsitzender;71;Bewerber;Bund;99;Bundesgebiet;Bund;ÖDP;Ökologisch-Demokratische Partei;63;;;;;;;;
EP;26.05.2019;;;Andresen;Rasmus;m;1986;24939;Flensburg;SH;Essen;DE;Kommunikationswissenschaftler;91;Bewerber;Bund;99;Bundesgebiet;Bund;GRÜNE;BÜNDNIS 90/DIE GRÜNEN;16;;;;;;;;
EP;26.05.2019;;;Ansin;Rebecca;w;1989;76187;Karlsruhe;BW;Toronto, Kanada;DE;Arbeitnehmerin;71;Bewerber;Bund;99;Bundesgebiet;Bund;Die PARTEI;Partei für Arbeit, Rechtsstaat, Tierschutz, Elitenförderung und basisdemokratische Initiative;42;;;;;;;;
EP;26.05.2019;;;Arens;Marianne;w;1952;65933;Frankfurt am Main;HE;Bern, Schweiz;DE;Journalistin;92;Bewerber;Bund;99;Bundesgebiet;Bund;SGP;Sozialistische Gleichheitspartei, Vierte Internationale;3;;;;;;;;
